AnnualElectricity_mmbtu,AnnualEnergyUse_cost,AnnualEnergyUse_mmbtu,AnnualSpaceHeating_cost,AnnualSpaceHeating_mmbtu,TractLong,Description,OccupiedUnits,MedianHouseholdIncome
17890.74468,3318170.258,72968.48603,1999980.19,55077.74135,980100,Eielson AFB,792,63036
72035.21635,13360266.25,293799.9939,8052711.513,221764.7775,001501,Badger East/Moose Creek Dam,1654,109191
105902.2144,19641528.87,431928.5971,11838653.71,326026.3827,001902,Chena River Valley,2188,89980
63981.75676,11866602.88,260953.4711,7152427.041,196971.7143,001402,Badger West/Bradway,1749,75586
108552.394,20133053.8,442737.5152,12134913.41,334185.1212,001502,Badger East/Plack,1843,96625
99963.19189,18540027.04,407705.934,11174739.07,307742.7422,001901,Goldstream/Murphy Dome,2597,73750
50915.33841,9443193.372,207661.2922,5691751.238,156745.9538,001401,Badger West/Persinger,1035,86851
87239.64134,16180208.73,355812.1623,9752391.953,268572.521,000800,Geist/University West,1940,76557
21469.60291,3981935.861,87565.07612,2400055.518,66095.47321,001000,FAI/Van Horn,582,90938
108214.5251,20070389.74,441359.4962,12097143.54,333144.97120000003,980000,Fort Wainwright,2287,70102
22088.00277,4096629.578,90087.2574,2469185.534,67999.25464,000100,Downtown Fairbanks,900,27878
61694.58821,11442405.07,251625.1156,6896747.813,189930.5274,000300,South Fairbanks,1926,55147
83082.62805,15409213.55,338857.5318,9287685.515,255774.9037,000400,Hamilton Acres,1820,87115
80170.45591,14869097.24,326980.0613,8962138.049,246809.6054,000700,Airport Way West,1773,66467
20137.08282,3734795.308,82130.31221,2251095.046,61993.22939,001700,Salcha,546,74708
126020.1558,23372774.04,513980.8399,14087608.96,387960.6841,001200,UAF/Farmers Loop,2227,104919
40771.25123,7561784.355,166288.0181,4557758.564,125516.7669,000500,Johansen/Railroad,1140,71649
71374.3591,13237698.03,291104.6475,7978835.248,219730.2884,000600,College/Aurora,1560,68580
143856.2276,26680804.21,586726.3394,16081477.35,442870.1118,001100,Steese Highway,2534,112809
47944.78239,8892248.689,195545.6995,5359677.123,147600.9171,000200,Airport Way Central,1213,93156
92318.7351,17122220.82,376527.5539,10320176.42,284208.8188,001600,Greater North Pole,1784,86910
102033.7318,18924047.05,416150.7564,11406201.69,314117.0246,000900,Chena Ridge,2431,105854
