Description,AnnualElectricity_cost,AnnualElectricity_mmbtu_hh,AnnualElectricity_cost_hh,AnnualSpaceHeating_mmbtu_hh,AnnualSpaceHeating_cost_hh,AnnualEnergyUse_mmbtu_hh,AnnualEnergyUse_cost_hh,MedianHouseholdIncome,EnergyBurden
Eielson AFB,1318190.068,22.58932409,1664.381399,69.54260272,2525.227513,92.13192681,4189.608912,63036,0.066463749
Badger East/Moose Creek Dam,5307554.741,43.55212597,3208.920641,134.0778582,4868.628484,177.6299842,8077.549126,109191,0.073976327
Chena River Valley,7802875.157,48.4013777,3566.213509,149.0065735,5410.719245,197.4079512,8976.932754,89980,0.099765867
Badger West/Bradway,4714175.838,36.58190781,2695.354967,112.6196194,4089.437988,149.2015272,6784.792955,75586,0.089762561
Badger East/Plack,7998140.39,58.89983397,4339.739767,181.3267071,6584.326322,240.2265411,10924.06609,96625,0.113056311
Goldstream/Murphy Dome,7365287.979,38.49179511,2836.075464,118.4993231,4302.941496,156.9911182,7139.01696,73750,0.09680023
Badger West/Persinger,3751442.134,49.19356368,3624.581772,151.445366,5499.276558,200.6389297,9123.858331,86851,0.105051851
Geist/University West,6427816.774,44.96888729,3313.307616,138.4394438,5027.006161,183.4083311,8340.313777,76557,0.108942537
FAI/Van Horn,1581880.342,36.88935208,2718.007461,113.5661052,4123.806733,150.4554572,6841.814194,90938,0.075236031
Fort Wainwright,7973246.207,47.31723877,3486.334152,145.6689861,5289.524939,192.9862249,8775.859092,70102,0.125187
Downtown Fairbanks,1627444.044,24.5422253,1808.27116,75.55472737,2743.539483,100.0969527,4551.810642,27878,0.163276083
South Fairbanks,4545657.26,32.03249648,2360.15434,98.61398097,3580.865946,130.6464775,5941.020287,55147,0.107730616
Hamilton Acres,6121528.035,45.64979563,3363.476942,140.5356614,5103.123909,186.185457,8466.600852,87115,0.097188783
Airport Way West,5906959.191,45.21740322,3331.618269,139.2045151,5054.787394,184.4219184,8386.405663,66467,0.126173976
Salcha,1483700.262,36.88110406,2717.399747,113.5407132,4122.884699,150.4218172,6840.284447,74708,0.091560267
UAF/Farmers Loop,9285165.08,56.58740719,4169.360162,174.2077612,6325.823513,230.7951684,10495.18367,104919,0.100031297
Johansen/Railroad,3004025.791,35.76425547,2635.110343,110.1024271,3998.033828,145.8666826,6633.144171,71649,0.092578322
College/Aurora,5258862.779,45.7527943,3371.065884,140.852749,5114.637979,186.6055433,8485.703863,68580,0.123734381
Steese Highway,10599326.85,56.77041343,4182.844061,174.771157,6346.281513,231.5415704,10529.12557,112809,0.093335865
Airport Way Central,3532571.566,39.52578927,2912.260153,121.6825368,4418.530192,161.2083261,7330.790345,93156,0.0786937
Greater North Pole,6802044.403,51.7481699,3812.805158,159.309876,5784.852252,211.0580459,9597.657411,86910,0.110432141
Chena Ridge,7517845.358,41.97191764,3092.490892,129.2130912,4691.979306,171.1850088,7784.470198,105854,0.073539689
